timestamp,inter_arrival,hop_valid,seq_delta,channel_index,payload_length,packet_rate_2s,seq_baseline_count,label
2025-11-24 15:30:25,0.000000,1,0,39,8,1,0,0
2025-11-24 15:30:26,1.001962,1,1,37,8,2,0,0
2025-11-24 15:30:27,1.001825,1,1,39,8,2,0,0
2025-11-24 15:30:28,1.002161,1,1,39,8,2,0,0
2025-11-24 15:30:29,1.000742,1,1,39,8,2,0,0
2025-11-24 15:30:30,1.003124,1,1,39,8,2,0,0
2025-11-24 15:30:31,1.002078,1,1,37,8,2,0,0
2025-11-24 15:30:32,1.004110,1,1,39,8,2,0,0
2025-11-24 15:30:33,1.001543,1,1,39,8,2,0,0
2025-11-24 15:30:34,1.002946,1,1,38,8,2,0,0
2025-11-24 15:30:35,1.000971,1,1,39,9,2,0,0
2025-11-24 15:30:36,1.001827,1,1,37,9,2,0,0
2025-11-24 15:30:37,1.001585,1,1,38,9,2,0,0
2025-11-24 15:30:38,1.003473,1,1,37,9,2,0,0
2025-11-24 15:30:39,1.004802,1,1,37,9,2,0,0
2025-11-24 15:30:40,1.000342,1,1,39,9,2,0,0
2025-11-24 15:30:41,1.003835,1,1,38,9,2,0,0
2025-11-24 15:30:42,1.000220,1,1,39,9,2,0,0
2025-11-24 15:30:43,1.001805,1,1,37,9,2,0,0
2025-11-24 15:30:44,1.002994,1,1,38,9,2,0,0
2025-11-24 15:30:45,1.003513,1,1,39,9,2,0,0
2025-11-24 15:30:46,1.000099,1,1,37,9,2,0,0
2025-11-24 15:30:47,1.004149,1,1,37,9,2,0,0
2025-11-24 15:30:48,1.000618,1,1,39,9,2,0,0
2025-11-24 15:30:49,1.001941,1,1,39,9,2,0,0
2025-11-24 15:30:50,1.002769,1,1,38,9,2,0,0
2025-11-24 15:30:51,1.000432,1,1,38,9,2,0,0
2025-11-24 15:30:52,1.001563,1,1,37,9,2,0,0
2025-11-24 15:30:53,1.003252,1,1,38,9,2,0,0
2025-11-24 15:30:54,1.000916,1,1,38,9,2,0,0
2025-11-24 15:30:55,1.001403,1,1,39,9,2,0,0
2025-11-24 15:30:56,1.002153,1,1,39,9,2,0,0
2025-11-24 15:30:57,1.002586,1,1,39,9,2,0,0
2025-11-24 15:30:58,1.010243,1,1,37,9,2,0,0
2025-11-24 15:30:59,1.003455,1,1,37,9,2,0,0
2025-11-24 15:31:00,1.000775,1,1,38,9,2,0,0
2025-11-24 15:31:01,1.003434,1,1,39,9,2,0,0
2025-11-24 15:31:02,1.001713,1,1,39,9,2,0,0
2025-11-24 15:31:03,1.000654,1,1,37,9,2,0,0
2025-11-24 15:31:04,1.001698,1,1,38,9,2,0,0
2025-11-24 15:31:05,1.003796,1,1,37,9,2,0,0
2025-11-24 15:31:06,1.000275,1,1,38,9,2,0,0
2025-11-24 15:31:07,1.001939,1,1,37,9,2,0,0
2025-11-24 15:31:08,1.002400,1,1,39,9,2,0,0
2025-11-24 15:31:09,1.004476,1,1,39,9,2,0,0
2025-11-24 15:31:10,1.001176,1,1,38,9,2,0,0
2025-11-24 15:31:11,1.003149,1,1,39,9,2,0,0
2025-11-24 15:31:12,1.000742,1,1,37,9,2,0,0
2025-11-24 15:31:13,1.001259,1,1,37,9,2,0,0
2025-11-24 15:31:14,1.002282,1,1,37,9,2,0,0
2025-11-24 15:31:15,1.001708,1,1,37,9,2,0,0
2025-11-24 15:31:16,1.002111,1,1,39,9,2,0,0
2025-11-24 15:31:17,1.004700,1,1,39,9,2,0,0
2025-11-24 15:31:18,1.002586,1,1,38,9,2,0,0
2025-11-24 15:31:19,1.000639,1,1,39,9,2,0,0
2025-11-24 15:31:20,1.001335,1,1,37,9,2,0,0
2025-11-24 15:31:21,1.003860,1,1,37,9,2,0,0
2025-11-24 15:31:22,1.002720,1,1,39,9,2,0,0
2025-11-24 15:31:23,1.000892,1,1,37,9,2,0,0
2025-11-24 15:31:24,1.003961,1,1,38,9,2,0,0
2025-11-24 15:31:25,1.002451,1,1,39,9,2,0,0
2025-11-24 15:31:26,1.001220,1,1,38,9,2,0,0
2025-11-24 15:31:27,1.002272,1,1,38,9,2,0,0
2025-11-24 15:31:42,0.000000,1,0,39,13,1,0,0
2025-11-24 15:31:42,0.050425,0,1,38,13,2,0,0
2025-11-24 15:31:42,0.051608,0,1,38,13,3,0,0
2025-11-24 15:31:42,0.050924,0,1,38,13,4,0,0
2025-11-24 15:31:42,0.051325,0,1,37,13,5,0,1
2025-11-24 15:31:42,0.051034,1,1,39,13,6,0,1
2025-11-24 15:31:42,0.051594,0,1,38,13,7,0,1
2025-11-24 15:31:42,0.051305,0,1,38,13,8,0,1
2025-11-24 15:31:42,0.051210,0,1,38,13,9,0,1
2025-11-24 15:31:42,0.051171,0,1,37,13,10,0,1
